  GameTime  PlayLife     Score    Action
       0       3           0    Begin Game
       0       3           0    MOVE RIGHT
       1       3           0    MOVE RIGHT
       2       3           0     MOVE JUMP
       3       3           0    MOVE RIGHT
       4       3           0    MOVE RIGHT
       5       3           0     MOVE JUMP
       6       3           0     MOVE JUMP
       7       3           0     MOVE JUMP
       8       3           0     MOVE JUMP
       9       3           0     MOVE JUMP
      10       3           0     MOVE JUMP
      11       3           0    MOVE RIGHT
      12       3           0     MOVE JUMP
      13       3           0     MOVE JUMP
      14       3           0     MOVE JUMP
      15       3           0    MOVE RIGHT
      16       3           0    MOVE RIGHT
      17       3           0     MOVE JUMP
      18       3           0     MOVE JUMP
      19       3           0     MOVE JUMP
       0       2           0    Begin Game
       0       2           0    MOVE RIGHT
       0       2           0    MOVE RIGHT
       1       2           0    MOVE RIGHT
       2       2           0    MOVE RIGHT
       3       2           0    MOVE RIGHT
       4       2           0    MOVE RIGHT
       5       2           0     MOVE JUMP
       6       2           0     MOVE JUMP
       7       2           0     MOVE JUMP
       8       2           0     MOVE JUMP
       9       2           0    MOVE RIGHT
      10       2           0     MOVE JUMP
      11       2           0    MOVE RIGHT
      12       2           0    MOVE RIGHT
      13       2         500     MOVE JUMP
      14       2         500     MOVE JUMP
      15       2         500    MOVE RIGHT
      16       2         500    MOVE RIGHT
      17       2         500    MOVE RIGHT
      18       2         500     MOVE JUMP
      19       2         500     MOVE JUMP
      20       2         500     MOVE JUMP
      21       2         500     MOVE JUMP
      22       2         500     MOVE JUMP
      23       2         500     MOVE JUMP
      24       2         500     MOVE JUMP
      25       2         500    MOVE RIGHT
      26       2         500     MOVE JUMP
      27       2         500    MOVE RIGHT
      28       2         500    MOVE RIGHT
      29       2         500    MOVE RIGHT
      30       2         500    MOVE RIGHT
      31       2         500    MOVE RIGHT
      32       2         500     MOVE JUMP
      33       2        1500    MOVE RIGHT
      34       2        1500    MOVE RIGHT
      35       2        1500     MOVE JUMP
      36       2        1500     MOVE JUMP
      37       2        1500    MOVE RIGHT
      38       2        1500     MOVE JUMP
      39       2        1500     MOVE JUMP
      40       2        1500     MOVE JUMP
      41       2        1500     MOVE JUMP
      42       2        1500     MOVE JUMP
      43       2        1500     MOVE JUMP
      44       2        1500     MOVE JUMP
      45       2        1500     MOVE JUMP
      46       2        1500     MOVE JUMP
      47       2        1500     MOVE JUMP
      48       2        1500     MOVE JUMP
      49       2        1500     MOVE JUMP
      50       2        1500     MOVE JUMP
      51       2        1500     MOVE JUMP
