  GameTime  PlayLife     Score    Action
     371       3           0    MOVE RIGHT
     372       3           0    MOVE RIGHT
     373       3           0    MOVE RIGHT
     374       3           0    MOVE RIGHT
     375       3           0    MOVE RIGHT
     376       3           0    MOVE RIGHT
     377       3           0     MOVE JUMP
     378       3         100     MOVE JUMP
     379       3         200    MOVE RIGHT
     380       3         200     MOVE JUMP
     381       3         200      MOVE DIE
     371       2         200    MOVE RIGHT
     372       2         200     MOVE JUMP
     373       2         300     MOVE JUMP
     374       2         300     MOVE JUMP
     375       2         300    MOVE RIGHT
     376       2         300     MOVE LEFT
     377       2         300     MOVE LEFT
     378       2         300    MOVE RIGHT
     379       2         300    MOVE RIGHT
     380       2         300     MOVE LEFT
     381       2         300    MOVE RIGHT
     382       2         300    MOVE RIGHT
     383       2         300    MOVE RIGHT
     384       2         300    MOVE RIGHT
     385       2         300     MOVE LEFT
     386       2         300     MOVE LEFT
     387       2         300    MOVE RIGHT
     388       2         300    MOVE RIGHT
     389       2         300     MOVE JUMP
     390       2         300    MOVE RIGHT
     391       2         500     MOVE LEFT
     392       2        1000    MOVE RIGHT
     393       2        1100     MOVE LEFT
     394       2        1100     MOVE LEFT
     395       2        1100     MOVE LEFT
     396       2        1100     MOVE JUMP
     397       2        1100     MOVE JUMP
     398       2        1100     MOVE JUMP
     399       2        1100     MOVE JUMP
     400       2        1100      MOVE DIE
     371       1        1100    Begin Game
     372       1        1100    MOVE RIGHT
     373       1        1100    MOVE RIGHT
     374       1        1200     MOVE JUMP
     375       1        1300    MOVE RIGHT
     376       1        1300     MOVE JUMP
     377       1        1300     MOVE JUMP
     378       1        1300    MOVE RIGHT
     379       1        1300     MOVE JUMP
     380       1        1300    MOVE RIGHT
     381       1        1300     MOVE JUMP
     371       1        1300    MOVE RIGHT
     372       1        1300    MOVE RIGHT
     373       1        1400     MOVE JUMP
     374       1        1500    MOVE RIGHT
     375       1        1500     MOVE JUMP
     376       1        1500    MOVE RIGHT
     377       1        1500     MOVE JUMP
     378       1        1900     MOVE JUMP
     379       1        2800     MOVE JUMP
     380       1        3700     MOVE JUMP
     381       1        3800    MOVE RIGHT
     382       1        3800    MOVE RIGHT
     383       1        4200     MOVE LEFT
     384       1        4200     MOVE LEFT
     385       1        4200    MOVE RIGHT
     386       1        4200    MOVE RIGHT
     387       1        4200    MOVE RIGHT
     388       1        4200     MOVE JUMP
     389       1        4200     MOVE JUMP
     361       1        4200    MOVE RIGHT
     362       1        4200     MOVE JUMP
     363       1        4200      MOVE DIE
     371       3           0    MOVE RIGHT
     372       3           0    MOVE RIGHT
     373       3         100     MOVE JUMP
     374       3         200    MOVE RIGHT
     375       3         200     MOVE JUMP
     376       3         200     MOVE JUMP
     377       3         200     MOVE JUMP
     378       3         200     MOVE JUMP
     379       3         200     MOVE JUMP
     380       3         200     MOVE JUMP
     371       3         200    MOVE RIGHT
     372       3         200    MOVE RIGHT
     373       3         300     MOVE JUMP
     374       3         400     MOVE JUMP
     375       3         400     MOVE JUMP
     376       3         400     MOVE JUMP
     377       3         400     MOVE JUMP
     378       3         400     MOVE JUMP
     379       3         400     MOVE JUMP
     380       3         400     MOVE JUMP
     381       3         400     MOVE JUMP
     382       3         400     MOVE JUMP
     383       3         400     MOVE JUMP
     384       3         400     MOVE JUMP
     361       3         400    MOVE RIGHT
     362       3         400    MOVE RIGHT
     363       3         500     MOVE JUMP
     364       3         600     MOVE JUMP
     365       3         600     MOVE JUMP
     366       3         600     MOVE JUMP
     367       3         600    MOVE RIGHT
     368       3         600     MOVE JUMP
     369       3         600     MOVE JUMP
     370       3         600     MOVE JUMP
     371       3         600     MOVE JUMP
     372       3         600     MOVE JUMP
     373       3         600     MOVE JUMP
     374       3         600     MOVE LEFT
     375       3         600     MOVE JUMP
     376       3         600    MOVE RIGHT
     377       3         600    MOVE RIGHT
     378       3         600    MOVE RIGHT
     379       3         600    MOVE RIGHT
     380       3         600    MOVE RIGHT
     381       3         600    MOVE RIGHT
     382       3         600    MOVE RIGHT
     383       3         600     MOVE JUMP
     384       3         600    MOVE RIGHT
     385       3         600     MOVE JUMP
     386       3         600     MOVE JUMP
     361       2         600    MOVE RIGHT
     362       2         600    MOVE RIGHT
     363       2         700     MOVE JUMP
     364       2         800     MOVE JUMP
     365       2         800     MOVE JUMP
     366       2         800    MOVE RIGHT
     367       2         800     MOVE JUMP
     368       2         800     MOVE JUMP
     369       2         800    MOVE RIGHT
     370       2         800    MOVE RIGHT
     371       2         800     MOVE LEFT
     372       2         800     MOVE JUMP
     373       2         800    MOVE RIGHT
     374       2         800     MOVE JUMP
     341       2         800    MOVE RIGHT
     342       2         800    MOVE RIGHT
     343       2         800     MOVE JUMP
     344       2         800     MOVE JUMP
     345       2         800     MOVE JUMP
     346       2         800     MOVE JUMP
     347       2         800     MOVE JUMP
     348       2         800     MOVE JUMP
     349       2        1100    MOVE RIGHT
     341       1        1500    MOVE RIGHT
     342       1        1500    MOVE RIGHT
     343       1        1500    MOVE RIGHT
     344       1        1500     MOVE JUMP
     345       1        1700     MOVE LEFT
     346       1        2000     MOVE LEFT
     347       1        2000     MOVE LEFT
     348       1        2000     MOVE JUMP
     349       1        2000     MOVE JUMP
     350       1        2300     MOVE JUMP
     351       1        2300     MOVE JUMP
     352       1        2300     MOVE JUMP
     353       1        2300    MOVE RIGHT
     354       1        2300    MOVE RIGHT
     355       1        2300      MOVE DIE
