  GameTime  PlayLife     Score    Action
       0       3           0    Begin Game
       0       3           0     MOVE JUMP
       0       3           0     MOVE JUMP
       1       3           0     MOVE JUMP
       0       3           0    Begin Game
       0       3           0    Begin Game
       0       3           0    MOVE RIGHT
       1       3           0    MOVE RIGHT
       2       3           0     MOVE JUMP
       0       3           0    Begin Game
       0       3           0    MOVE RIGHT
       0       3           0    MOVE RIGHT
       0       3           0    MOVE RIGHT
       1       3           0    MOVE RIGHT
       2       3           0    MOVE RIGHT
       3       3           0     MOVE JUMP
       4       3           0     MOVE JUMP
       0       3           0    Begin Game
       0       3           0    Begin Game
       0       3           0    Begin Game
       0       3           0    Begin Game
       0       3           0    Begin Game
       1       3           0    Begin Game
       2       3           0    Begin Game
       3       3           0    MOVE RIGHT
       4       3           0    MOVE RIGHT
       5       3           0    MOVE RIGHT
       6       3           0     MOVE JUMP
