  GameTime  PlayLife     Score    Action
     371       3           0    MOVE RIGHT
     372       3           0     MOVE LEFT
     373       3           0    MOVE RIGHT
     374       3           0    MOVE RIGHT
     375       3           0    MOVE RIGHT
     376       3           0    MOVE RIGHT
     377       3           0    MOVE RIGHT
     378       3           0    MOVE RIGHT
     379       3           0     MOVE LEFT
     380       3           0     MOVE LEFT
     381       3           0    MOVE RIGHT
     382       3           0     MOVE LEFT
     383       3           0     MOVE LEFT
     384       3           0     MOVE LEFT
     385       3           0     MOVE LEFT
     386       3           0     MOVE LEFT
     387       3           0     MOVE LEFT
     388       3           0     MOVE LEFT
     389       3           0    MOVE RIGHT
     390       3           0    MOVE RIGHT
     391       3           0    MOVE RIGHT
     392       3           0    MOVE RIGHT
     393       3           0     MOVE JUMP
     394       3         100     MOVE JUMP
     395       3         200    MOVE RIGHT
     396       3         200     MOVE JUMP
     397       3         700     MOVE LEFT
     398       3         700    MOVE RIGHT
     399       3         900    MOVE RIGHT
     400       3         900      MOVE DIE
     371       2         900    MOVE RIGHT
     372       2         900    MOVE RIGHT
     373       2         900     MOVE JUMP
     374       2        1000     MOVE JUMP
     375       2        1100    MOVE RIGHT
     376       2        1100     MOVE JUMP
     377       2        1100     MOVE JUMP
     378       2        1100     MOVE JUMP
     379       2        1100     MOVE JUMP
     380       2        1100     MOVE JUMP
     381       2        1100     MOVE JUMP
     382       2        1100    MOVE RIGHT
     383       2        1100    MOVE RIGHT
     384       2        1100    MOVE RIGHT
     385       2        1100     MOVE JUMP
     386       2        1100     MOVE JUMP
     371       2        1100    MOVE RIGHT
     372       2        1100    MOVE RIGHT
     373       2        1100     MOVE JUMP
     374       2        1200     MOVE JUMP
     375       2        1300    MOVE RIGHT
     376       2        1300    MOVE RIGHT
     377       2        1300    MOVE RIGHT
     378       2        1300    MOVE RIGHT
     379       2        1300    MOVE RIGHT
     380       2        1300    MOVE RIGHT
     381       2        1300     MOVE JUMP
     382       2        1500     MOVE JUMP
     383       2        2300    MOVE RIGHT
     384       2        2300     MOVE JUMP
     385       2        2900    MOVE RIGHT
     386       2        3000    MOVE RIGHT
     387       2        3400    MOVE RIGHT
     388       2        3400    MOVE RIGHT
     389       2        3400    MOVE RIGHT
     390       2        3400    MOVE RIGHT
     391       2        3400    MOVE RIGHT
     392       2        3400    MOVE RIGHT
     393       2        3400    MOVE RIGHT
     394       2        4000     MOVE LEFT
     395       2        4200     MOVE JUMP
     396       2        4600     MOVE JUMP
     397       2        4800     MOVE LEFT
     398       2        4800     MOVE JUMP
     399       2        4800     MOVE LEFT
     400       2        4800      MOVE DIE
     371       1        4800    MOVE RIGHT
     372       1        4800    MOVE RIGHT
     373       1        4800     MOVE JUMP
     371       3           0    MOVE RIGHT
     372       3           0     MOVE JUMP
     373       3         100     MOVE JUMP
     374       3         200    MOVE RIGHT
     375       3         200     MOVE JUMP
     376       3         200     MOVE JUMP
     377       3         200     MOVE JUMP
     378       3         200     MOVE JUMP
     379       3         200     MOVE JUMP
     380       3         200     MOVE JUMP
     371       3         200    MOVE RIGHT
     372       3         200    MOVE RIGHT
     373       3         300     MOVE JUMP
     374       3         400     MOVE JUMP
     375       3         400     MOVE JUMP
     376       3         400     MOVE JUMP
     377       3         400     MOVE JUMP
     378       3         400     MOVE JUMP
     379       3         400     MOVE JUMP
     380       3         400     MOVE JUMP
     361       3         400    MOVE RIGHT
     362       3         400    MOVE RIGHT
     363       3         400     MOVE JUMP
     364       3         500     MOVE JUMP
     365       3         500     MOVE JUMP
     366       3         500     MOVE JUMP
     367       3         500     MOVE JUMP
     368       3         500     MOVE JUMP
     369       3         500     MOVE JUMP
     370       3         500     MOVE JUMP
     371       3         500     MOVE LEFT
     372       3         500     MOVE JUMP
     373       3         500     MOVE JUMP
     374       3         500    MOVE RIGHT
     375       3         500     MOVE JUMP
     376       3         500     MOVE JUMP
     377       3         500    MOVE RIGHT
     361       2         500    MOVE RIGHT
     362       2         500    MOVE RIGHT
     363       2         600     MOVE JUMP
     364       2         700     MOVE JUMP
     365       2         700     MOVE JUMP
     366       2         700     MOVE JUMP
     367       2         700     MOVE LEFT
     368       2         700     MOVE JUMP
     369       2         700     MOVE JUMP
     361       1         700    MOVE RIGHT
     362       1         700    MOVE RIGHT
     363       1         700     MOVE JUMP
