  GameTime  PlayLife     Score    Action
     361       3           0    MOVE RIGHT
     362       3           0     MOVE JUMP
     363       3         100     MOVE JUMP
     364       3         200    MOVE RIGHT
     365       3         200    MOVE RIGHT
     366       3         200    MOVE RIGHT
     367       3         200    MOVE RIGHT
     368       3         200     MOVE JUMP
     369       3         200    MOVE RIGHT
     370       3         700    MOVE RIGHT
     371       3         700    MOVE RIGHT
     372       3        1200    MOVE RIGHT
     373       3        1700    MOVE RIGHT
     374       3        2200    MOVE RIGHT
     375       3        2500     MOVE LEFT
     376       3        2500     MOVE JUMP
     377       3        2500     MOVE JUMP
     378       3        2500     MOVE JUMP
     379       3        2500     MOVE JUMP
     380       3        2500     MOVE JUMP
     381       3        2500     MOVE JUMP
     382       3        2500     MOVE JUMP
     383       3        2500     MOVE JUMP
     384       3        2500     MOVE JUMP
     385       3        2500     MOVE JUMP
     371       3        2500    MOVE RIGHT
     372       3        2500     MOVE JUMP
     373       3        2600     MOVE JUMP
     374       3        2700    MOVE RIGHT
     375       3        2700     MOVE JUMP
     376       3        2700     MOVE JUMP
     377       3        3400    MOVE RIGHT
     378       3        3400     MOVE JUMP
     379       3        4500     MOVE JUMP
     380       3        4600     MOVE JUMP
     381       3        5400     MOVE LEFT
     382       3        5400     MOVE JUMP
     383       3        5500     MOVE JUMP
     384       3        5800     MOVE JUMP
     385       3        6100     MOVE JUMP
     386       3        6500     MOVE JUMP
     387       3        6900     MOVE JUMP
     388       3        6900     MOVE JUMP
     389       3        6900     MOVE JUMP
     390       3        6900     MOVE JUMP
     391       3        6900     MOVE JUMP
     392       3        6900     MOVE JUMP
     393       3        6900     MOVE JUMP
     394       3        6900     MOVE JUMP
     395       3        6900     MOVE JUMP
     396       3        6900     MOVE JUMP
     397       3        6900     MOVE JUMP
     361       3        6900    MOVE RIGHT
     362       3        6900     MOVE JUMP
     363       3        7000     MOVE JUMP
     364       3        7000     MOVE LEFT
     365       3        7000     MOVE JUMP
     366       3        7100     MOVE JUMP
     367       3        7100     MOVE JUMP
     368       3        7100      MOVE DIE
     361       2        7100    MOVE RIGHT
     362       2        7100     MOVE JUMP
     363       2        7200     MOVE JUMP
     364       2        7300     MOVE JUMP
     365       2        7300     MOVE JUMP
     361       1        7300    MOVE RIGHT
     362       1        7300    MOVE RIGHT
     363       1        7400     MOVE JUMP
     364       1        7500     MOVE JUMP
     365       1        7500     MOVE JUMP
     366       1        7500     MOVE JUMP
     367       1        7500     MOVE JUMP
     368       1        7500    MOVE RIGHT
     369       1        7500     MOVE JUMP
     370       1        7500     MOVE JUMP
     371       1        7500    MOVE RIGHT
     341       1        7500    MOVE RIGHT
     342       1        7500     MOVE JUMP
     343       1        7500     MOVE JUMP
     344       1        7700     MOVE JUMP
     345       1        8200    MOVE RIGHT
     346       1        8600     MOVE JUMP
     347       1        8800     MOVE LEFT
     348       1        8800     MOVE LEFT
     349       1        8800    MOVE RIGHT
     350       1        8800    MOVE RIGHT
     351       1        8800     MOVE JUMP
     352       1        8800     MOVE JUMP
     353       1        8800     MOVE JUMP
     354       1        8800     MOVE JUMP
     355       1        8800    MOVE RIGHT
     356       1        8800     MOVE JUMP
     357       1        8800     MOVE JUMP
     358       1        8800     MOVE LEFT
     359       1        9400     MOVE LEFT
     360       1        9400     MOVE JUMP
     361       1        9400     MOVE JUMP
     362       1        9400     MOVE JUMP
