  GameTime  PlayLife     Score    Action
       0       3           0    Begin Game
       0       3           0    Begin Game
       1       3           0    MOVE RIGHT
       2       3           0    MOVE RIGHT
       3       3           0     MOVE JUMP
       4       3           0    MOVE RIGHT
       5       3           0    MOVE RIGHT
       6       3           0     MOVE JUMP
       7       3         100    MOVE RIGHT
       8       3         100    MOVE RIGHT
       9       3         100     MOVE JUMP
      10       3         200     MOVE JUMP
      11       3         300     MOVE JUMP
      12       3         500     MOVE JUMP
      13       3         600     MOVE JUMP
      14       3         600     MOVE JUMP
      15       3         600     MOVE JUMP
      16       3         600     MOVE JUMP
      17       3         600     MOVE JUMP
      18       3         600     MOVE JUMP
      19       3         600     MOVE JUMP
      20       3         600     MOVE JUMP
      21       3         600     MOVE JUMP
      22       3         600     MOVE JUMP
      23       3         600    MOVE RIGHT
      24       3         600     MOVE JUMP
      25       3         600     MOVE JUMP
      26       3         600     MOVE JUMP
      27       3         600     MOVE JUMP
      28       3         600     MOVE JUMP
      29       3         600     MOVE LEFT
      30       3         600     MOVE JUMP
      31       3         600     MOVE LEFT
      32       3         600     MOVE JUMP
      33       3         600    MOVE RIGHT
      34       3         600     MOVE JUMP
      35       3         600    MOVE RIGHT
      36       3         600    MOVE RIGHT
      37       3        1100    MOVE RIGHT
      38       3        1100     MOVE JUMP
      39       3        1100    MOVE RIGHT
      40       3        1100    MOVE RIGHT
      41       3        1100     MOVE JUMP
      42       3        1100     MOVE JUMP
      43       3        1100    MOVE RIGHT
      44       3        1100     MOVE JUMP
      45       3        1600     MOVE JUMP
      46       3        1600    MOVE RIGHT
      47       3        1600     MOVE JUMP
      48       3        1600     MOVE JUMP
      49       3        1700     MOVE JUMP
      50       3        1800     MOVE JUMP
      51       3        2000     MOVE JUMP
      52       3        2100     MOVE JUMP
      53       3        2100     MOVE JUMP
      54       3        2100    MOVE RIGHT
      55       3        2100    MOVE RIGHT
      56       3        2100    MOVE RIGHT
      57       3        2100     MOVE LEFT
      58       3        2100    MOVE RIGHT
      59       3        2100    MOVE RIGHT
      60       3        2100     MOVE JUMP
      61       3        2100     MOVE JUMP
      62       3        2100     MOVE JUMP
      63       3        2100     MOVE JUMP
      64       3        2100     MOVE JUMP
      65       3        2200     MOVE JUMP
      66       3        2200     MOVE JUMP
      67       3        2200    MOVE RIGHT
      68       3        2200     MOVE JUMP
      69       3        2700     MOVE LEFT
      70       3        2700    MOVE RIGHT
      71       3        2700     MOVE JUMP
      72       3        2700    MOVE RIGHT
      73       3        2700     MOVE JUMP
      74       3        2800    MOVE RIGHT
      75       3        2800     MOVE JUMP
      76       3        2800    MOVE RIGHT
      77       3        2800     MOVE JUMP
      78       3        2900     MOVE JUMP
      79       3        3000     MOVE JUMP
      80       3        3000     MOVE LEFT
      81       3        3000     MOVE JUMP
      82       3        3100     MOVE JUMP
      83       3        3200     MOVE LEFT
      84       3        3200     MOVE JUMP
      85       3        3300     MOVE JUMP
      86       3        3300    MOVE RIGHT
      87       3        3300     MOVE LEFT
      88       3        3300     MOVE JUMP
      89       3        3300     MOVE JUMP
      90       3        3300     MOVE LEFT
      91       3        3300     MOVE LEFT
      92       3        3300     MOVE LEFT
      93       3        3300     MOVE LEFT
      94       3        3300    MOVE RIGHT
      95       3        3300    MOVE RIGHT
      96       3        3300     MOVE JUMP
      97       3        3300     MOVE JUMP
      98       3        3300     MOVE JUMP
      99       3        3300     MOVE JUMP
     100       3        3300    MOVE RIGHT
     101       3        3300     MOVE JUMP
     102       3        3300     MOVE JUMP
     103       3        3300    MOVE RIGHT
     104       3        3300     MOVE JUMP
     105       3        3300    MOVE RIGHT
     106       3        3300    MOVE RIGHT
     107       3        3300    MOVE RIGHT
     108       3        3300    MOVE RIGHT
     109       3        3300    MOVE RIGHT
     110       3        3300     MOVE JUMP
     111       3        3300    MOVE RIGHT
     112       3        3300    MOVE RIGHT
     113       3        3300    MOVE RIGHT
     114       3        3300    MOVE RIGHT
     115       3        3300    MOVE RIGHT
     116       3        3300    MOVE RIGHT
     117       3        3300    MOVE RIGHT
     118       3        3300    MOVE RIGHT
     119       3        3300    MOVE RIGHT
     120       3        3300    MOVE RIGHT
     121       3        3300    MOVE RIGHT
     122       3        3300    MOVE RIGHT
     123       3        3300     MOVE JUMP
     124       3        3300    MOVE RIGHT
     125       3        3300     MOVE JUMP
     126       3        3300    MOVE RIGHT
     127       3        3300     MOVE JUMP
     128       3        3300     MOVE JUMP
     129       3        3300     MOVE JUMP
     130       3        3300     MOVE JUMP
     131       3        3300     MOVE JUMP
     132       3        3300     MOVE JUMP
     133       3        3300     MOVE JUMP
     134       3        3300     MOVE LEFT
     135       3        3300     MOVE JUMP
     136       3        3800     MOVE JUMP
     137       3        3800    MOVE RIGHT
     138       3        3800     MOVE JUMP
     139       3        3800    MOVE RIGHT
     140       3        3800     MOVE JUMP
     141       3        3800     MOVE JUMP
     142       3        3800     MOVE JUMP
     143       3        3800     MOVE JUMP
     144       3        3800     MOVE JUMP
