  GameTime  PlayLife     Score    Action
       0       3           0    Begin Game
       0       3           0    MOVE RIGHT
       1       3           0     MOVE JUMP
       2       3           0     MOVE JUMP
       3       3           0    MOVE RIGHT
       4       3           0    MOVE RIGHT
       5       3           0     MOVE JUMP
       6       3           0     MOVE JUMP
       7       3           0     MOVE JUMP
       8       3           0     MOVE JUMP
       9       3           0     MOVE LEFT
      10       3           0     MOVE JUMP
      11       3           0    MOVE RIGHT
      12       3           0    MOVE RIGHT
      13       3           0     MOVE JUMP
      14       3         500    MOVE RIGHT
      15       3         500    MOVE RIGHT
      16       3         500     MOVE LEFT
      17       3         500     MOVE LEFT
      18       3         500     MOVE LEFT
      19       3         500     MOVE JUMP
      20       3         500    MOVE RIGHT
      21       3         500    MOVE RIGHT
      22       3         500    MOVE RIGHT
      23       3         500    MOVE RIGHT
      24       3         500    MOVE RIGHT
      25       3         500    MOVE RIGHT
      26       3         500    MOVE RIGHT
      27       3         500     MOVE LEFT
      28       3         500    MOVE RIGHT
      29       3         500     MOVE JUMP
      30       3         500     MOVE JUMP
      31       3         500     MOVE JUMP
      32       3         500    MOVE RIGHT
      33       3         500     MOVE JUMP
      34       3         500     MOVE JUMP
      35       3         500    MOVE RIGHT
      36       3         500    MOVE RIGHT
      37       3         500    MOVE RIGHT
      38       3         500    MOVE RIGHT
      39       3         500    MOVE RIGHT
      40       3         500     MOVE JUMP
      41       3         500     MOVE JUMP
      42       3         500     MOVE JUMP
      43       3         500     MOVE LEFT
      44       3         500     MOVE JUMP
      45       3         500     MOVE LEFT
      46       3         500     MOVE JUMP
      47       3         500     MOVE LEFT
      48       3         500     MOVE LEFT
      49       3         500     MOVE LEFT
      50       3         500     MOVE LEFT
      51       3         500     MOVE LEFT
      52       3         500     MOVE JUMP
      53       3         500     MOVE LEFT
      54       3         500     MOVE JUMP
      55       3         500     MOVE LEFT
      56       3         500     MOVE JUMP
      57       3         500     MOVE LEFT
      58       3         500     MOVE JUMP
      59       3         500     MOVE LEFT
      60       3         500     MOVE LEFT
      61       3         500     MOVE LEFT
      62       3         500    MOVE RIGHT
      63       3         500    MOVE RIGHT
      64       3         500     MOVE JUMP
      65       3         500     MOVE JUMP
      66       3         500     MOVE LEFT
      67       3         500     MOVE LEFT
      68       3         500     MOVE LEFT
      69       3         500    MOVE RIGHT
      70       3         500    MOVE RIGHT
      71       3         500    MOVE RIGHT
      72       3         500     MOVE JUMP
      73       3         500     MOVE JUMP
      74       3         500     MOVE LEFT
      75       3        1500    MOVE RIGHT
      76       3        1500    MOVE RIGHT
      77       3        1500    MOVE RIGHT
      78       3        1500     MOVE LEFT
      79       3        1500     MOVE JUMP
      80       3        1500     MOVE LEFT
      81       3        1500    MOVE RIGHT
      82       3        1500     MOVE JUMP
      83       3        1500     MOVE JUMP
      84       3        1500     MOVE JUMP
      85       3        2000     MOVE JUMP
      86       3        2000    MOVE RIGHT
      87       3        2000     MOVE JUMP
      88       3        2000     MOVE JUMP
      89       3        2000     MOVE JUMP
      90       3        2000     MOVE LEFT
      91       3        2000     MOVE JUMP
      92       3        2200     MOVE JUMP
      93       3        2400     MOVE JUMP
      94       3        2500    MOVE RIGHT
      95       3        2500     MOVE JUMP
      96       3        2600     MOVE JUMP
      97       3        2800     MOVE JUMP
      98       3        2900     MOVE JUMP
      99       3        2900     MOVE LEFT
     100       3        2900     MOVE JUMP
     101       3        3000     MOVE JUMP
     102       3        3200     MOVE JUMP
     103       3        3400     MOVE JUMP
     104       3        3500     MOVE JUMP
     105       3        3700     MOVE JUMP
     106       3        3900     MOVE JUMP
     107       3        4100     MOVE JUMP
     108       3        4300     MOVE JUMP
     109       3        4400     MOVE JUMP
     110       3        4500    MOVE RIGHT
     111       3        4500     MOVE JUMP
     112       3        4500    MOVE RIGHT
     113       3        4500     MOVE JUMP
     114       3        4500     MOVE JUMP
     115       3        4500     MOVE JUMP
     116       3        4500     MOVE LEFT
     117       3        4500     MOVE LEFT
     118       3        5000    MOVE RIGHT
     119       3        5000     MOVE JUMP
     120       3        5000     MOVE JUMP
     121       3        5000     MOVE JUMP
     122       3        6000     MOVE JUMP
     123       3        6000     MOVE JUMP
     124       3        6000    MOVE RIGHT
     125       3        6000     MOVE JUMP
     126       3        6000     MOVE JUMP
     127       3        6200     MOVE JUMP
     128       3        6300     MOVE JUMP
     129       3        6500     MOVE JUMP
     130       3        6700     MOVE JUMP
     131       3        6900     MOVE JUMP
     132       3        7000     MOVE JUMP
     133       3        7000     MOVE JUMP
     134       3        7000     MOVE JUMP
     135       3        7000    MOVE RIGHT
     136       3        7000     MOVE JUMP
     137       3        7000     MOVE JUMP
     138       3        7000     MOVE JUMP
     139       3        7000     MOVE JUMP
     140       3        7000     MOVE JUMP
     141       3        7000     MOVE JUMP
     142       3        7000     MOVE JUMP
     143       3        7500    MOVE RIGHT
     144       3        8000    MOVE RIGHT
     145       3        8000     MOVE JUMP
     146       3        8000     MOVE JUMP
     147       3        8000     MOVE JUMP
     148       3        8100     MOVE JUMP
     149       3        8300     MOVE JUMP
     150       3        8500     MOVE JUMP
     151       3        8500     MOVE JUMP
     152       3        8500    MOVE RIGHT
     153       3        8500     MOVE JUMP
     154       3        8500     MOVE JUMP
     155       3        8500     MOVE JUMP
     156       3        8500     MOVE JUMP
     157       3        8500     MOVE JUMP
     158       3        8500     MOVE JUMP
     159       3        8500     MOVE LEFT
     160       3        8500     MOVE JUMP
     161       3        8500     MOVE JUMP
     162       3        8500     MOVE JUMP
