  GameTime  PlayLife     Score    Action
       0       3           0    Begin Game
       0       3           0    Begin Game
       1       3           0    Begin Game
       2       3           0    Begin Game
       3       3           0    Begin Game
       4       3           0    MOVE RIGHT
       5       3           0    MOVE RIGHT
       6       3           0     MOVE JUMP
       7       3           0     MOVE JUMP
       8       3           0     MOVE JUMP
       9       3           0     MOVE JUMP
      10       3           0     MOVE JUMP
      11       3           0     MOVE JUMP
      12       3           0    MOVE RIGHT
      13       3           0      MOVE DIE
